time_s,bus_busy_s,load_percent
0,0.0108,1.08
1,0.00528,0.528
2,0.00528,0.528
3,0.00528,0.528
4,0.00528,0.528
5,0.00528,0.528
6,0.00528,0.528
7,0.00528,0.528
8,0.00528,0.528
9,0.00528,0.528
10,0.00528,0.528
11,0.00528,0.528
12,0.00528,0.528
13,0.00528,0.528
14,0.00528,0.528
15,0.00528,0.528
16,0.00528,0.528
17,0.00528,0.528
18,0.00528,0.528
19,0.00528,0.528
20,0.00528,0.528
21,0.00528,0.528
22,0.00528,0.528
23,0.00528,0.528
24,0.00528,0.528
25,0.00528,0.528
26,0.00528,0.528
27,0.00528,0.528
28,0.00528,0.528
29,0.00528,0.528
30,0.00528,0.528
31,0.00528,0.528
32,0.00528,0.528
33,0.00528,0.528
34,0.00528,0.528
35,0.00528,0.528
36,0.00528,0.528
37,0.00528,0.528
38,0.00528,0.528
39,0.00528,0.528
40,0.00528,0.528
41,0.00528,0.528
42,0.00528,0.528
43,0.00528,0.528
44,0.00528,0.528
45,0.00528,0.528
46,0.00528,0.528
47,0.00528,0.528
48,0.00528,0.528
49,0.00528,0.528
50,0.00528,0.528
51,0.00528,0.528
52,0.00528,0.528
53,0.00528,0.528
54,0.00528,0.528
55,0.00528,0.528
56,0.00528,0.528
57,0.00528,0.528
58,0.00528,0.528
59,0.00528,0.528
60,0.0108,1.08
61,0.00528,0.528
62,0.00528,0.528
63,0.00528,0.528
64,0.00528,0.528
65,0.00528,0.528
66,0.00528,0.528
67,0.00528,0.528
68,0.00528,0.528
69,0.00528,0.528
70,0.00528,0.528
71,0.00528,0.528
72,0.00528,0.528
73,0.00528,0.528
74,0.00528,0.528
75,0.00528,0.528
76,0.00528,0.528
77,0.00528,0.528
78,0.00528,0.528
79,0.00528,0.528
80,0.00528,0.528
81,0.00528,0.528
82,0.00528,0.528
83,0.00528,0.528
84,0.00528,0.528
85,0.00528,0.528
86,0.00528,0.528
87,0.00528,0.528
88,0.00528,0.528
89,0.00528,0.528
90,0.00528,0.528
91,0.00528,0.528
92,0.00528,0.528
93,0.00528,0.528
94,0.00528,0.528
95,0.00528,0.528
96,0.00528,0.528
97,0.00528,0.528
98,0.00528,0.528
99,0.00528,0.528
100,0.00528,0.528
101,0.00528,0.528
102,0.00528,0.528
103,0.00528,0.528
104,0.00528,0.528
