thread,query_type,latency_us
reader,SELECT,1681.8750000000548
writer,UPDATE,2329.5420000000177
reader,SELECT,16.374999999957396
reader,SELECT,40.25000000007495
writer,UPDATE,46.541000000011046
reader,SELECT,73.58400000001541
reader,SELECT,50.209000000078774
writer,UPDATE,67.49999999999812
reader,SELECT,53.0409999999204
reader,SELECT,39.1669999999511
writer,UPDATE,16.29100000000161
reader,SELECT,55.45899999992443
reader,SELECT,37.292000000022085
writer,UPDATE,13.750000000034568
reader,SELECT,45.70800000003317
reader,SELECT,37.54200000005703
writer,UPDATE,14.91600000003146
reader,SELECT,15.083999999943032
reader,SELECT,11.916000000056215
writer,UPDATE,13.083999999996543
reader,SELECT,44.83300000002188
reader,SELECT,37.2080000000663
writer,UPDATE,13.415999999932815
reader,SELECT,119.20900000006452
reader,SELECT,80.54100000010055
writer,UPDATE,69.87499999999702
reader,SELECT,91.04199999998563
writer,UPDATE,121.209000000011
reader,SELECT,68.04100000001867
reader,SELECT,96.45800000002147
writer,UPDATE,99.37500000001265
reader,SELECT,50.37499999993589
reader,SELECT,64.58399999997866
writer,UPDATE,70.12499999992095
reader,SELECT,15.125000000004718
reader,SELECT,36.958000000031355
writer,UPDATE,89.16700000005662
reader,SELECT,64.75000000005781
reader,SELECT,16.4169999999908
writer,UPDATE,33.916999999994424
reader,SELECT,39.00000000001125
reader,SELECT,41.29100000005437
writer,UPDATE,15.666999999996989
reader,SELECT,35.915999999969195
reader,SELECT,20.333000000039014
writer,UPDATE,6.124999999967962
reader,SELECT,14.29100000005512
reader,SELECT,41.12499999997521
writer,UPDATE,35.45799999993271
reader,SELECT,16.20800000001754
reader,SELECT,13.16699999998061
writer,UPDATE,42.125000000003965
reader,SELECT,16.62499999999234
reader,SELECT,36.49999999999487
writer,UPDATE,33.04199999998314
reader,SELECT,15.416999999962044
reader,SELECT,37.12499999997121
writer,UPDATE,54.79100000005399
reader,SELECT,15.417000000073067
reader,SELECT,35.79200000003446
reader,SELECT,81.83400000005835
writer,UPDATE,70.91699999994816
reader,SELECT,46.58299999993343
reader,SELECT,41.99999999998649
writer,UPDATE,53.375000000022155
reader,SELECT,17.458000000081242
reader,SELECT,61.584000000003414
writer,UPDATE,69.91599999994769
reader,SELECT,49.50000000003563
writer,UPDATE,36.457999999961466
reader,SELECT,17.833999999994354
reader,SELECT,20.125000000037474
writer,UPDATE,33.54199999994201
reader,SELECT,17.291000000030365
reader,SELECT,14.624999999934829
writer,UPDATE,35.499999999966114
reader,SELECT,19.917000000035934
reader,SELECT,41.00000000006876
writer,UPDATE,13.625000000017096
reader,SELECT,17.417000000019556
reader,SELECT,41.33400000005949
writer,UPDATE,26.83400000003111
reader,SELECT,17.332999999952747
reader,SELECT,14.290999999944098
writer,UPDATE,14.333000000088525
reader,SELECT,16.95899999998307
reader,SELECT,35.20800000000879
writer,UPDATE,34.374999999919886
reader,SELECT,17.625000000021096
reader,SELECT,40.45800000007649
writer,UPDATE,31.208000000004787
reader,SELECT,18.791999999989706
reader,SELECT,35.33399999999798
writer,UPDATE,31.24999999992717
reader,SELECT,28.042000000061407
reader,SELECT,15.375000000039662
writer,UPDATE,13.000000000040757
reader,SELECT,18.833000000051392
reader,SELECT,17.79199999996095
writer,UPDATE,32.91700000007669
reader,SELECT,18.542000000065784
reader,SELECT,18.08300000005758
writer,UPDATE,13.417000000015555
reader,SELECT,18.334000000064243
reader,SELECT,35.291999999964574
writer,UPDATE,30.29200000004284
reader,SELECT,18.791000000017988
reader,SELECT,41.416999999932536
writer,UPDATE,30.08299999995856
reader,SELECT,18.20799999996403
reader,SELECT,40.458999999937184
writer,UPDATE,31.99999999992098
reader,SELECT,20.49999999997887
reader,SELECT,37.916000000026706
writer,UPDATE,30.499999999933358
reader,SELECT,19.917000000035934
reader,SELECT,34.958000000084866
writer,UPDATE,29.54200000004903
reader,SELECT,20.665999999947005
reader,SELECT,35.292000000075596
writer,UPDATE,14.208000000071053
reader,SELECT,46.458999999998696
reader,SELECT,35.62499999998359
writer,UPDATE,32.33400000002273
reader,SELECT,21.374999999990152
reader,SELECT,40.45800000007649
writer,UPDATE,14.83299999993637
reader,SELECT,44.249999999967926
reader,SELECT,73.5830000000437
writer,UPDATE,64.87499999996427
reader,SELECT,54.417000000084315
writer,UPDATE,34.41599999998157
reader,SELECT,19.415999999994327
reader,SELECT,21.417000000023556
reader,SELECT,47.04199999994163
writer,UPDATE,69.12500000000321
reader,SELECT,46.999999999908226
writer,UPDATE,31.833999999952844
reader,SELECT,21.95800000004411
reader,SELECT,37.292000000022085
